Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 10/594] Loss: 4.9892 | Cls: 4.9802 | Loc: 4.9982
  [Batch 20/594] Loss: 4.2958 | Cls: 4.2693 | Loc: 4.3224
  [Batch 30/594] Loss: 4.9415 | Cls: 4.9182 | Loc: 4.9648
  [Batch 40/594] Loss: 4.7228 | Cls: 4.7040 | Loc: 4.7416
  [Batch 50/594] Loss: 4.5938 | Cls: 4.5801 | Loc: 4.6074
  [Batch 60/594] Loss: 4.5984 | Cls: 4.5875 | Loc: 4.6093
  [Batch 70/594] Loss: 4.6863 | Cls: 4.6767 | Loc: 4.6959
  [Batch 80/594] Loss: 4.6182 | Cls: 4.6111 | Loc: 4.6253
  [Batch 90/594] Loss: 4.5697 | Cls: 4.5636 | Loc: 4.5759
  [Batch 100/594] Loss: 4.5517 | Cls: 4.5475 | Loc: 4.5559
  [Batch 110/594] Loss: 4.6299 | Cls: 4.6255 | Loc: 4.6343
  [Batch 120/594] Loss: 4.5736 | Cls: 4.5694 | Loc: 4.5777
  [Batch 130/594] Loss: 4.7555 | Cls: 4.7520 | Loc: 4.7590
  [Batch 140/594] Loss: 4.5603 | Cls: 4.5566 | Loc: 4.5640
  [Batch 150/594] Loss: 4.7618 | Cls: 4.7587 | Loc: 4.7649
  [Batch 160/594] Loss: 4.5632 | Cls: 4.5615 | Loc: 4.5650
  [Batch 170/594] Loss: 4.7311 | Cls: 4.7293 | Loc: 4.7329
  [Batch 180/594] Loss: 4.5998 | Cls: 4.5981 | Loc: 4.6016
  [Batch 190/594] Loss: 4.5150 | Cls: 4.5126 | Loc: 4.5174
  [Batch 200/594] Loss: 4.6796 | Cls: 4.6773 | Loc: 4.6818
  [Batch 210/594] Loss: 4.6025 | Cls: 4.5999 | Loc: 4.6051
  [Batch 220/594] Loss: 4.5896 | Cls: 4.5873 | Loc: 4.5919
  [Batch 230/594] Loss: 4.6316 | Cls: 4.6291 | Loc: 4.6342
  [Batch 240/594] Loss: 4.6732 | Cls: 4.6712 | Loc: 4.6752
  [Batch 250/594] Loss: 4.7001 | Cls: 4.6970 | Loc: 4.7032
  [Batch 260/594] Loss: 4.6034 | Cls: 4.5988 | Loc: 4.6080
  [Batch 270/594] Loss: 4.6171 | Cls: 4.6100 | Loc: 4.6243
  [Batch 280/594] Loss: 4.5526 | Cls: 4.5453 | Loc: 4.5600
  [Batch 290/594] Loss: 4.5526 | Cls: 4.5453 | Loc: 4.5599
  [Batch 300/594] Loss: 4.6326 | Cls: 4.6278 | Loc: 4.6373
  [Batch 310/594] Loss: 4.7136 | Cls: 4.7106 | Loc: 4.7165
  [Batch 320/594] Loss: 4.6094 | Cls: 4.6081 | Loc: 4.6107
  [Batch 330/594] Loss: 4.6298 | Cls: 4.6276 | Loc: 4.6320
  [Batch 340/594] Loss: 4.6909 | Cls: 4.6888 | Loc: 4.6929
  [Batch 350/594] Loss: 4.5968 | Cls: 4.5949 | Loc: 4.5987
  [Batch 360/594] Loss: 4.6389 | Cls: 4.6363 | Loc: 4.6414
  [Batch 370/594] Loss: 4.5912 | Cls: 4.5897 | Loc: 4.5928
  [Batch 380/594] Loss: 4.6632 | Cls: 4.6621 | Loc: 4.6643
  [Batch 390/594] Loss: 4.6944 | Cls: 4.6927 | Loc: 4.6960
  [Batch 400/594] Loss: 4.6093 | Cls: 4.6083 | Loc: 4.6103
  [Batch 410/594] Loss: 4.6532 | Cls: 4.6521 | Loc: 4.6543
  [Batch 420/594] Loss: 4.6498 | Cls: 4.6492 | Loc: 4.6504
  [Batch 430/594] Loss: 4.5749 | Cls: 4.5744 | Loc: 4.5753
  [Batch 440/594] Loss: 4.5999 | Cls: 4.5995 | Loc: 4.6002
  [Batch 450/594] Loss: 4.6250 | Cls: 4.6244 | Loc: 4.6256
  [Batch 460/594] Loss: 4.6303 | Cls: 4.6296 | Loc: 4.6310
  [Batch 470/594] Loss: 4.5942 | Cls: 4.5935 | Loc: 4.5948
  [Batch 480/594] Loss: 4.5476 | Cls: 4.5470 | Loc: 4.5481
  [Batch 490/594] Loss: 4.6172 | Cls: 4.6167 | Loc: 4.6177
  [Batch 500/594] Loss: 4.6039 | Cls: 4.6033 | Loc: 4.6046
  [Batch 510/594] Loss: 4.6166 | Cls: 4.6162 | Loc: 4.6170
  [Batch 520/594] Loss: 4.6325 | Cls: 4.6320 | Loc: 4.6329
  [Batch 530/594] Loss: 4.6166 | Cls: 4.6159 | Loc: 4.6172
  [Batch 540/594] Loss: 4.6577 | Cls: 4.6570 | Loc: 4.6583
  [Batch 550/594] Loss: 4.6406 | Cls: 4.6401 | Loc: 4.6411
  [Batch 560/594] Loss: 4.6118 | Cls: 4.6115 | Loc: 4.6120
  [Batch 570/594] Loss: 4.6640 | Cls: 4.6633 | Loc: 4.6646
  [Batch 580/594] Loss: 4.5751 | Cls: 4.5746 | Loc: 4.5755
  [Batch 590/594] Loss: 4.6159 | Cls: 4.6156 | Loc: 4.6163
  [Batch 594/594] Loss: 4.6220 | Cls: 4.6216 | Loc: 4.6224
Epoch 1 Train - Loc Loss: 4.6239 | Cls Loss: 4.6162 | Tot Loss: 4.6201 | Acc: 1.12% | F1: 0.0022
  [Batch 10/86] Loss: 4.5947 | Cls: 4.5929 | Loc: 4.5965
  [Batch 20/86] Loss: 4.5912 | Cls: 4.5889 | Loc: 4.5934
