Skipped videos:  0
1780
Skipped videos:  0
258
  [Batch 10/594] Loss: 4.6042 | Cls: 4.6003 | Loc: 4.6081
  [Batch 20/594] Loss: 4.3587 | Cls: 4.3551 | Loc: 4.3623
  [Batch 30/594] Loss: 4.6331 | Cls: 4.6294 | Loc: 4.6368
  [Batch 40/594] Loss: 4.6558 | Cls: 4.6518 | Loc: 4.6597
  [Batch 50/594] Loss: 4.6622 | Cls: 4.6584 | Loc: 4.6661
  [Batch 60/594] Loss: 4.5603 | Cls: 4.5563 | Loc: 4.5644
  [Batch 70/594] Loss: 4.7831 | Cls: 4.7794 | Loc: 4.7867
  [Batch 80/594] Loss: 4.6734 | Cls: 4.6697 | Loc: 4.6772
  [Batch 90/594] Loss: 4.5860 | Cls: 4.5824 | Loc: 4.5895
  [Batch 100/594] Loss: 4.4769 | Cls: 4.4733 | Loc: 4.4805
  [Batch 110/594] Loss: 4.7142 | Cls: 4.7103 | Loc: 4.7182
  [Batch 120/594] Loss: 4.6283 | Cls: 4.6247 | Loc: 4.6319
  [Batch 130/594] Loss: 4.7813 | Cls: 4.7773 | Loc: 4.7853
  [Batch 140/594] Loss: 4.4850 | Cls: 4.4814 | Loc: 4.4886
  [Batch 150/594] Loss: 4.6858 | Cls: 4.6823 | Loc: 4.6893
  [Batch 160/594] Loss: 4.5771 | Cls: 4.5737 | Loc: 4.5804
  [Batch 170/594] Loss: 4.8626 | Cls: 4.8590 | Loc: 4.8661
  [Batch 180/594] Loss: 4.4952 | Cls: 4.4917 | Loc: 4.4987
  [Batch 190/594] Loss: 4.6555 | Cls: 4.6518 | Loc: 4.6591
  [Batch 200/594] Loss: 4.7459 | Cls: 4.7422 | Loc: 4.7496
  [Batch 210/594] Loss: 4.5514 | Cls: 4.5474 | Loc: 4.5554
  [Batch 220/594] Loss: 4.6385 | Cls: 4.6348 | Loc: 4.6421
  [Batch 230/594] Loss: 4.5510 | Cls: 4.5469 | Loc: 4.5550
  [Batch 240/594] Loss: 4.3911 | Cls: 4.3871 | Loc: 4.3951
  [Batch 250/594] Loss: 4.5742 | Cls: 4.5695 | Loc: 4.5789
  [Batch 260/594] Loss: 4.5549 | Cls: 4.5505 | Loc: 4.5594
  [Batch 270/594] Loss: 4.6603 | Cls: 4.6556 | Loc: 4.6650
  [Batch 280/594] Loss: 4.4441 | Cls: 4.4395 | Loc: 4.4486
  [Batch 290/594] Loss: 4.6463 | Cls: 4.6418 | Loc: 4.6507
  [Batch 300/594] Loss: 4.6217 | Cls: 4.6171 | Loc: 4.6263
  [Batch 310/594] Loss: 4.6823 | Cls: 4.6783 | Loc: 4.6864
  [Batch 320/594] Loss: 4.6753 | Cls: 4.6713 | Loc: 4.6794
  [Batch 330/594] Loss: 4.6723 | Cls: 4.6678 | Loc: 4.6768
  [Batch 340/594] Loss: 4.6817 | Cls: 4.6774 | Loc: 4.6860
