Skipped videos:  0
1780
Skipped videos:  0
258
Epoch 001 - Train Loss: 4.6279 | Acc: 1.40% | F1: 0.0031
Epoch 001 - Val   Loss: 4.6035 | Acc: 1.55% | F1: 0.0005

Best model saved at epoch 1 with Acc: 1.55%, F1: 0.0005

Epoch 002 - Train Loss: 4.6058 | Acc: 1.63% | F1: 0.0014
Epoch 002 - Val   Loss: 4.6021 | Acc: 1.55% | F1: 0.0005
Epoch 003 - Train Loss: 4.6076 | Acc: 2.02% | F1: 0.0015
Epoch 003 - Val   Loss: 5.8468 | Acc: 1.55% | F1: 0.0005
Epoch 004 - Train Loss: 4.6083 | Acc: 1.97% | F1: 0.0008
Epoch 004 - Val   Loss: 4.6016 | Acc: 1.55% | F1: 0.0005
Epoch 005 - Train Loss: 4.6099 | Acc: 1.91% | F1: 0.0011
Epoch 005 - Val   Loss: 4.6224 | Acc: 1.55% | F1: 0.0005
Epoch 006 - Train Loss: 4.6047 | Acc: 1.97% | F1: 0.0008
Epoch 006 - Val   Loss: 4.6003 | Acc: 1.55% | F1: 0.0005
Epoch 007 - Train Loss: 4.6023 | Acc: 2.02% | F1: 0.0008
Epoch 007 - Val   Loss: 4.6983 | Acc: 1.55% | F1: 0.0005
Epoch 008 - Train Loss: 4.6080 | Acc: 1.80% | F1: 0.0007
Epoch 008 - Val   Loss: 4.6005 | Acc: 1.55% | F1: 0.0005
Epoch 009 - Train Loss: 4.6091 | Acc: 1.97% | F1: 0.0025
Epoch 009 - Val   Loss: 4.7863 | Acc: 1.55% | F1: 0.0005
Epoch 010 - Train Loss: 4.6046 | Acc: 2.02% | F1: 0.0008
Epoch 010 - Val   Loss: 4.5935 | Acc: 1.55% | F1: 0.0005
Epoch 011 - Train Loss: 4.5931 | Acc: 2.02% | F1: 0.0008
Epoch 011 - Val   Loss: 4.5892 | Acc: 1.55% | F1: 0.0005
Epoch 012 - Train Loss: 4.5916 | Acc: 2.02% | F1: 0.0008
Epoch 012 - Val   Loss: 4.5895 | Acc: 1.55% | F1: 0.0005
Epoch 013 - Train Loss: 4.5894 | Acc: 2.02% | F1: 0.0008
Epoch 013 - Val   Loss: 4.5844 | Acc: 1.55% | F1: 0.0005
Epoch 014 - Train Loss: 4.5905 | Acc: 2.02% | F1: 0.0008
Epoch 014 - Val   Loss: 4.5825 | Acc: 1.55% | F1: 0.0005
Epoch 015 - Train Loss: 4.5887 | Acc: 2.02% | F1: 0.0008
Epoch 015 - Val   Loss: 4.5811 | Acc: 1.55% | F1: 0.0005
Epoch 016 - Train Loss: 4.5889 | Acc: 2.02% | F1: 0.0008
Epoch 016 - Val   Loss: 4.5806 | Acc: 1.55% | F1: 0.0005
Epoch 017 - Train Loss: 4.5871 | Acc: 2.02% | F1: 0.0008
Epoch 017 - Val   Loss: 4.5789 | Acc: 1.55% | F1: 0.0005
Epoch 018 - Train Loss: 4.5863 | Acc: 2.02% | F1: 0.0008
Epoch 018 - Val   Loss: 4.5838 | Acc: 1.55% | F1: 0.0005
Epoch 019 - Train Loss: 4.5830 | Acc: 2.02% | F1: 0.0008
