{'word': '/export/fhome/jcomes/WLASL1/data/WLASL2000'} /export/fhome/jcomes/WLASL1/WLASL/I3D/preprocess/nslt_100.json
bs=3_ups=1_lr=0.001_eps=0.001_wd=1e-07
Skipped videos:  0
1780
Skipped videos:  0
258

=== Epoch 1 ===
  [Batch 10/594] Avg Loss: 4.5520 | Acc so far: 0.00% | F1 so far: 0.0000
  [Batch 20/594] Avg Loss: 4.6799 | Acc so far: 1.67% | F1 so far: 0.0028
  [Batch 30/594] Avg Loss: 4.6928 | Acc so far: 1.11% | F1 so far: 0.0013
  [Batch 40/594] Avg Loss: 4.6581 | Acc so far: 0.83% | F1 so far: 0.0009
  [Batch 50/594] Avg Loss: 4.6552 | Acc so far: 1.33% | F1 so far: 0.0016
  [Batch 60/594] Avg Loss: 4.6516 | Acc so far: 1.11% | F1 so far: 0.0012
  [Batch 70/594] Avg Loss: 4.6468 | Acc so far: 0.95% | F1 so far: 0.0011
  [Batch 80/594] Avg Loss: 4.6577 | Acc so far: 0.83% | F1 so far: 0.0010
  [Batch 90/594] Avg Loss: 4.6552 | Acc so far: 0.74% | F1 so far: 0.0009
  [Batch 100/594] Avg Loss: 4.6506 | Acc so far: 0.67% | F1 so far: 0.0008
  [Batch 110/594] Avg Loss: 4.6494 | Acc so far: 0.61% | F1 so far: 0.0008
  [Batch 120/594] Avg Loss: 4.6453 | Acc so far: 1.11% | F1 so far: 0.0013
  [Batch 130/594] Avg Loss: 4.6424 | Acc so far: 1.28% | F1 so far: 0.0013
  [Batch 140/594] Avg Loss: 4.6435 | Acc so far: 1.43% | F1 so far: 0.0014
  [Batch 150/594] Avg Loss: 4.6415 | Acc so far: 1.56% | F1 so far: 0.0015
  [Batch 160/594] Avg Loss: 4.6376 | Acc so far: 1.67% | F1 so far: 0.0016
  [Batch 170/594] Avg Loss: 4.6378 | Acc so far: 1.57% | F1 so far: 0.0014
  [Batch 180/594] Avg Loss: 4.6357 | Acc so far: 1.67% | F1 so far: 0.0015
  [Batch 190/594] Avg Loss: 4.6354 | Acc so far: 1.58% | F1 so far: 0.0013
